,name,cik
0,2U INC,1459417
1,8X8 INC,1023731
2,A10 NETWORKS INC,1580808
3,ACI WORLDWIDE INC,935036
4,ADOBE INC,796343
5,AGILYSYS INC,78749
6,ALARM.COM HOLDINGS INC,1459200
7,ALTAIR ENGINEERING INC,1701732
8,ALTERYX INC,1689923
9,ANAPLAN INC,1540755
10,ANSYS INC,1013462
11,APPFOLIO INC,1433195
12,APPIAN CORP,1441683
13,ASANA INC,1477720
14,ASPEN TECHNOLOGY INC,929940
15,ASURE SOFTWARE INC,884144
16,AUDIOEYE INC,1362190
17,AUTODESK INC,769397
18,AUTOMATIC DATA PROCESSING,8670
19,AVALARA INC,1348036
20,AWARE INC,1015739
21,BENEFITFOCUS INC,1576169
22,BENTLEY SYSTEMS INC,1031308
23,BILL.COM HOLDINGS INC,1786352
24,BIO-KEY INTERNATIONAL INC,1019034
25,BLACKBAUD INC,1280058
26,BLACKBOXSTOCKS INC,1567900
27,BLACKLINE INC,1666134
28,BOTTOMLINE TECHNOLOGIES INC,1073349
29,BOX INC,1372612
30,BOXLIGHT CORP,1624512
31,BRIDGELINE DIGITAL INC,1378590
32,BSQUARE CORP,1054721
33,CADENCE DESIGN SYSTEMS INC,813672
34,CDK GLOBAL INC,1609702
35,CERENCE INC,1768267
36,CERIDIAN HCM HOLDING,1725057
37,CITRIX SYSTEMS INC,877890
38,CLEANSPARK INC,827876
39,CLOUDFLARE INC,1477333
40,COMMVAULT SYSTEMS INC,1169561
41,COUPA SOFTWARE INC,1385867
42,CROWDSTRIKE HOLDINGS INC,1535527
43,CYREN LTD,1084577
44,DATADOG INC,1561550
45,DATTO HOLDING CORP,1724570
46,DIGIMARC CORP,1438231
47,DIGITAL TURBINE INC,317788
48,DOCUSIGN INC,1261333
49,DOMO INC,1505952
50,DROPBOX INC,1467623
51,DYNATRACE INC,1773383
52,EBIX INC,814549
53,ECOARK HOLDINGS INC,1437491
54,EGAIN CORP,1066194
55,ENVESTNET INC,1337619
56,EVERBRIDGE INC,1437352
57,EVOLVING SYSTEMS INC,1052054
58,FAIR ISAAC CORP,814547
59,FASTLY INC,1517413
60,FIVE9 INC,1288847
61,FORTINET INC,1262039
62,GSE SYSTEMS INC,944480
63,GTY TECHNOLOGY HOLDINGS,1682325
64,GUIDEWIRE SOFTWARE INC,1528396
65,HUBSPOT INC,1404655
66,IDEANOMICS INC,837852
67,INTRUSION INC,736012
68,INTUIT INC,896878
69,INUVO INC,829323
70,ISSUER DIRECT CORP,843006
71,JACK IN THE BOX INC,807882
72,JAMF HOLDING CORP,1721947
73,JFROG LTD,1800667
74,LIVEPERSON INC,1102993
75,MANHATTAN ASSOCIATES INC,1056696
76,MARIN SOFTWARE INC,1389002
77,MICROSOFT CORP,789019
78,MICROSTRATEGY INC,1050446
79,MITEK SYSTEMS INC,807863
80,MODEL N INC,1118417
81,MONGODB INC,1441816
82,NCINO INC,1902733
83,NETSOL TECHNOLOGIES INC,1039280
84,NEW RELIC INC,1448056
85,NORTONLIFELOCK INC,849399
86,NUANCE COMMUNICATIONS INC,1002517
87,NUTANIX INC,1618732
88,OBLONG INC,746210
89,OKTA INC,1660134
90,ONESPAN INC,1044777
91,ORACLE CORP,1341439
92,PAGERDUTY INC,1568100
93,PALO ALTO NETWORKS INC,1327567
94,PARK CITY GROUP INC,50471
95,PAYCHEX INC,723531
96,PAYCOM SOFTWARE INC,1590955
97,PAYLOCITY HOLDING CORP,1591698
98,PEGASYSTEMS INC,1013857
99,PHUNWARE INC,1665300
100,PING IDENTITY HOLDING CORP,1679826
101,PROGRESS SOFTWARE CORP,876167
102,PROS HOLDINGS INC,1392972
103,PTC INC,857005
104,Q2 HOLDINGS INC,1410384
105,QUALYS INC,1107843
106,QUMU CORP,892482
107,RAPID7 INC,1560327
108,REALNETWORKS INC,1046327
109,RINGCENTRAL INC,1384905
110,RIOT BLOCKCHAIN INC,1167419
111,SALESFORCE.COM INC,1108524
112,SEACHANGE INTERNATIONAL INC,1019671
113,SECUREWORKS CORP,1468666
114,SERVICENOW INC,1373715
115,SHOTSPOTTER INC,1351636
116,SMARTSHEET INC,1366561
117,SMITH MICRO SOFTWARE INC,948708
118,SNOWFLAKE INC,1640147
119,SOLARWINDS CORP,1739942
120,SONIC FOUNDRY INC,1029744
121,SPLUNK INC,1353283
122,SPROUT SOCIAL INC,1517375
